"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Ilmanpaineen keskiarvo [hPa]"
"Helsinki Kaisaniemi","2021","9","24","02:00","8","8.3","124","990.2"
"Helsinki Kaisaniemi","2021","9","24","03:00","8.1","8.6","120","989.6"
"Helsinki Kaisaniemi","2021","9","24","04:00","8.1","10.7","114","989.3"
"Helsinki Kaisaniemi","2021","9","24","05:00","8","11","114","989.3"
"Helsinki Kaisaniemi","2021","9","24","06:00","8.1","10.2","114","989.9"
"Helsinki Kaisaniemi","2021","9","24","07:00","8","9.1","114","990.5"
"Helsinki Kaisaniemi","2021","9","24","08:00","8.1","8","110","991.3"
"Helsinki Kaisaniemi","2021","9","24","09:00","8.2","7.6","108","992.2"
"Helsinki Kaisaniemi","2021","9","24","10:00","8","6.8","107","993.1"
"Helsinki Kaisaniemi","2021","9","24","11:00","8.1","6.1","106","993.7"
"Helsinki Kaisaniemi","2021","9","24","12:00","8.5","5.8","99","994.6"
"Helsinki Kaisaniemi","2021","9","24","13:00","8.5","6.3","102","995.3"
"Helsinki Kaisaniemi","2021","9","24","14:00","8.7","4.8","91","996.2"
"Helsinki Kaisaniemi","2021","9","24","15:00","8.8","4.4","92","996.9"
"Helsinki Kaisaniemi","2021","9","24","16:00","9.1","3.8","95","997.3"
"Helsinki Kaisaniemi","2021","9","24","17:00","9.2","4.6","99","997.5"
"Helsinki Kaisaniemi","2021","9","24","18:00","9.3","4.9","113","998.3"
"Helsinki Kaisaniemi","2021","9","24","19:00","9.4","4.3","120","998.1"
"Helsinki Kaisaniemi","2021","9","24","20:00","9.4","3.3","144","998.1"
"Helsinki Kaisaniemi","2021","9","24","21:00","9.4","3.3","155","997.9"
"Helsinki Kaisaniemi","2021","9","24","22:00","9.3","3.7","162","997.8"
"Helsinki Kaisaniemi","2021","9","24","23:00","8.9","3.6","178","997.4"
"Helsinki Kaisaniemi","2021","9","25","00:00","8.8","3.1","195","996.7"
"Helsinki Kaisaniemi","2021","9","25","01:00","8.9","3","202","996"
"Helsinki Kaisaniemi","2021","9","25","02:00","9","2.4","217","995.6"
"Helsinki Kaisaniemi","2021","9","25","03:00","8.8","2.4","263","995.2"
"Helsinki Kaisaniemi","2021","9","25","04:00","8.5","2.1","281","994.9"
"Helsinki Kaisaniemi","2021","9","25","05:00","8.2","1.2","275","994.4"
"Helsinki Kaisaniemi","2021","9","25","06:00","8.2","1.5","267","994.4"
"Helsinki Kaisaniemi","2021","9","25","07:00","8.3","2.1","286","994.6"
"Helsinki Kaisaniemi","2021","9","25","08:00","8.3","1.7","276","994.7"
"Helsinki Kaisaniemi","2021","9","25","09:00","8.6","2.5","279","995"
"Helsinki Kaisaniemi","2021","9","25","10:00","8.7","2.1","290","995"
"Helsinki Kaisaniemi","2021","9","25","11:00","9.1","2.1","269","995.5"
"Helsinki Kaisaniemi","2021","9","25","12:00","9.7","2.4","290","996.2"
"Helsinki Kaisaniemi","2021","9","25","13:00","10.6","3.2","298","996.8"
"Helsinki Kaisaniemi","2021","9","25","14:00","11","3.4","304","997.6"
"Helsinki Kaisaniemi","2021","9","25","15:00","11.4","4","302","998.4"
"Helsinki Kaisaniemi","2021","9","25","16:00","12.3","3.8","306","999.2"
"Helsinki Kaisaniemi","2021","9","25","17:00","12.4","3.7","306","1000.4"
"Helsinki Kaisaniemi","2021","9","25","18:00","12.4","2.8","283","1001.4"
"Helsinki Kaisaniemi","2021","9","25","19:00","11.8","2.3","252","1002.2"
"Helsinki Kaisaniemi","2021","9","25","20:00","11.7","2.2","259","1002.8"
"Helsinki Kaisaniemi","2021","9","25","21:00","11.7","3.8","294","1003.6"
"Helsinki Kaisaniemi","2021","9","25","22:00","11.6","5.7","300","1004.7"
"Helsinki Kaisaniemi","2021","9","25","23:00","10.6","5.3","303","1005.7"
"Helsinki Kaisaniemi","2021","9","26","00:00","10.2","5.1","302","1006.6"
"Helsinki Kaisaniemi","2021","9","26","01:00","10","5.1","313","1007.8"
"Helsinki Kaisaniemi","2021","9","26","02:00","9.8","4.8","313","1009.1"
"Helsinki Kaisaniemi","2021","9","26","03:00","9.6","4.4","311","1010.4"
"Helsinki Kaisaniemi","2021","9","26","04:00","9.5","4.3","316","1011.6"
"Helsinki Kaisaniemi","2021","9","26","05:00","9.3","4.1","318","1012.8"
"Helsinki Kaisaniemi","2021","9","26","06:00","9.3","3.7","303","1014"
"Helsinki Kaisaniemi","2021","9","26","07:00","8.9","3.6","312","1015.1"
"Helsinki Kaisaniemi","2021","9","26","08:00","7.8","3.9","313","1016.2"
"Helsinki Kaisaniemi","2021","9","26","09:00","7.9","3.8","323","1017.3"
"Helsinki Kaisaniemi","2021","9","26","10:00","9.4","4.5","333","1018.3"
"Helsinki Kaisaniemi","2021","9","26","11:00","10.8","4.4","340","1019.1"
"Helsinki Kaisaniemi","2021","9","26","12:00","12","4","357","1020"
"Helsinki Kaisaniemi","2021","9","26","13:00","13.4","3.7","343","1020.8"
"Helsinki Kaisaniemi","2021","9","26","14:00","14.4","4.8","337","1021.3"
"Helsinki Kaisaniemi","2021","9","26","15:00","15.1","3.2","335","1021.7"
"Helsinki Kaisaniemi","2021","9","26","16:00","15","3.6","335","1022.2"
"Helsinki Kaisaniemi","2021","9","26","17:00","14.6","2.7","346","1022.8"
"Helsinki Kaisaniemi","2021","9","26","18:00","13.9","2.6","347","1023.4"
"Helsinki Kaisaniemi","2021","9","26","19:00","12.6","2","351","1024"
"Helsinki Kaisaniemi","2021","9","26","20:00","10.3","1.7","6","1024.4"
"Helsinki Kaisaniemi","2021","9","26","21:00","8.6","2","4","1024.9"
"Helsinki Kaisaniemi","2021","9","26","22:00","7.6","1.8","35","1025.4"
"Helsinki Kaisaniemi","2021","9","26","23:00","6.9","1.5","40","1026"
"Helsinki Kaisaniemi","2021","9","27","00:00","6.5","0.5","0","1026.5"
"Helsinki Kaisaniemi","2021","9","27","01:00","5.9","0.3","0","1027.1"
"Helsinki Kaisaniemi","2021","9","27","02:00","5.6","0.9","98","1027.7"
"Helsinki Kaisaniemi","2021","9","27","03:00","5.3","0.7","104","1028.1"
"Helsinki Kaisaniemi","2021","9","27","04:00","5.1","0.7","98","1028.5"
"Helsinki Kaisaniemi","2021","9","27","05:00","5","0.7","97","1029"
"Helsinki Kaisaniemi","2021","9","27","06:00","4.9","1","97","1029.4"
"Helsinki Kaisaniemi","2021","9","27","07:00","5.3","1.2","97","1029.8"
"Helsinki Kaisaniemi","2021","9","27","08:00","5.2","1.1","99","1029.9"
"Helsinki Kaisaniemi","2021","9","27","09:00","6.4","0.9","93","1030.2"
"Helsinki Kaisaniemi","2021","9","27","10:00","8.7","1.1","101","1030.6"
"Helsinki Kaisaniemi","2021","9","27","11:00","10.7","2","104","1031.1"
"Helsinki Kaisaniemi","2021","9","27","12:00","11.9","3.2","115","1031.4"
"Helsinki Kaisaniemi","2021","9","27","13:00","13","3","117","1031.6"
"Helsinki Kaisaniemi","2021","9","27","14:00","13","3","117","1031.6"
"Helsinki Kaisaniemi","2021","9","27","15:00","12.8","3.1","125","1031.6"
"Helsinki Kaisaniemi","2021","9","27","16:00","12.4","3.3","126","1031.5"
"Helsinki Kaisaniemi","2021","9","27","17:00","11.9","3.3","126","1031.2"
"Helsinki Kaisaniemi","2021","9","27","18:00","11.5","3.5","117","1031.2"
"Helsinki Kaisaniemi","2021","9","27","19:00","10.5","2.9","120","1031.3"
"Helsinki Kaisaniemi","2021","9","27","20:00","9.1","1.9","109","1031.2"
"Helsinki Kaisaniemi","2021","9","27","21:00","8.2","2.5","104","1031.2"
"Helsinki Kaisaniemi","2021","9","27","22:00","7.4","2.2","104","1031.1"
"Helsinki Kaisaniemi","2021","9","27","23:00","7.1","1.7","102","1031.2"
"Helsinki Kaisaniemi","2021","9","28","00:00","7.3","1.7","105","1031.4"
"Helsinki Kaisaniemi","2021","9","28","01:00","6.8","1.3","111","1031.5"
"Helsinki Kaisaniemi","2021","9","28","02:00","6.8","1.2","108","1031.8"
"Helsinki Kaisaniemi","2021","9","28","03:00","6.1","1.3","90","1031.8"
"Helsinki Kaisaniemi","2021","9","28","04:00","5.7","0.9","96","1031.9"
"Helsinki Kaisaniemi","2021","9","28","05:00","5.3","1.4","89","1031.9"
"Helsinki Kaisaniemi","2021","9","28","06:00","5.1","0.9","82","1032"
"Helsinki Kaisaniemi","2021","9","28","07:00","4.9","1.4","82","1031.9"
"Helsinki Kaisaniemi","2021","9","28","08:00","6.6","2.2","86","1032.1"
"Helsinki Kaisaniemi","2021","9","28","09:00","7.8","2.7","85","1032.2"
"Helsinki Kaisaniemi","2021","9","28","10:00","9","2.1","98","1032.4"
"Helsinki Kaisaniemi","2021","9","28","11:00","10.6","3.8","111","1032.6"
"Helsinki Kaisaniemi","2021","9","28","12:00","10.8","4.9","116","1032.9"
"Helsinki Kaisaniemi","2021","9","28","13:00","11.1","5","111","1033.1"
"Helsinki Kaisaniemi","2021","9","28","14:00","11.2","5.2","117","1033.3"
"Helsinki Kaisaniemi","2021","9","28","15:00","11.7","6.4","113","1033.5"
"Helsinki Kaisaniemi","2021","9","28","16:00","11.2","5.8","117","1033.5"
"Helsinki Kaisaniemi","2021","9","28","17:00","10.8","5","110","1033.5"
"Helsinki Kaisaniemi","2021","9","28","18:00","10.4","4.9","114","1033.4"
"Helsinki Kaisaniemi","2021","9","28","19:00","10.2","4.9","113","1033.5"
"Helsinki Kaisaniemi","2021","9","28","20:00","9.9","5.6","115","1033.6"
"Helsinki Kaisaniemi","2021","9","28","21:00","9.8","5.5","112","1033.8"
"Helsinki Kaisaniemi","2021","9","28","22:00","9.6","4.7","111","1034"
"Helsinki Kaisaniemi","2021","9","28","23:00","8.8","2.8","103","1034.1"
"Helsinki Kaisaniemi","2021","9","29","00:00","9.2","2.8","107","1034.1"
"Helsinki Kaisaniemi","2021","9","29","01:00","9.8","3","108","1034.1"
"Helsinki Kaisaniemi","2021","9","29","02:00","10.1","2.8","121","1034.3"
"Helsinki Kaisaniemi","2021","9","29","03:00","10.5","2.4","137","1034.3"
"Helsinki Kaisaniemi","2021","9","29","04:00","10.3","2.5","134","1034.1"
"Helsinki Kaisaniemi","2021","9","29","05:00","10.2","1.8","132","1034"
"Helsinki Kaisaniemi","2021","9","29","06:00","10.3","2.2","129","1033.8"
"Helsinki Kaisaniemi","2021","9","29","07:00","10.4","3.4","134","1033.7"
"Helsinki Kaisaniemi","2021","9","29","08:00","10.2","3.5","127","1033.6"
"Helsinki Kaisaniemi","2021","9","29","09:00","10.2","3.4","132","1033.6"
"Helsinki Kaisaniemi","2021","9","29","10:00","10.3","3.6","132","1033.7"
"Helsinki Kaisaniemi","2021","9","29","11:00","10.3","3.5","140","1033.9"
"Helsinki Kaisaniemi","2021","9","29","12:00","10.3","3.5","133","1034"
"Helsinki Kaisaniemi","2021","9","29","13:00","10.4","3.2","128","1033.9"
"Helsinki Kaisaniemi","2021","9","29","14:00","10.5","3.3","133","1033.9"
"Helsinki Kaisaniemi","2021","9","29","15:00","10.7","3.3","123","1033.7"
"Helsinki Kaisaniemi","2021","9","29","16:00","10.6","3.3","138","1033.5"
"Helsinki Kaisaniemi","2021","9","29","17:00","10.6","3.2","139","1033.2"
"Helsinki Kaisaniemi","2021","9","29","18:00","10.7","2.7","113","1032.8"
"Helsinki Kaisaniemi","2021","9","29","19:00","10.8","2.7","118","1032.6"
"Helsinki Kaisaniemi","2021","9","29","20:00","10.9","3.1","115","1032.5"
"Helsinki Kaisaniemi","2021","9","29","21:00","10.9","3.2","134","1032.4"
"Helsinki Kaisaniemi","2021","9","29","22:00","10.7","3.4","136","1032.4"
"Helsinki Kaisaniemi","2021","9","29","23:00","10.4","3.2","145","1032.4"
"Helsinki Kaisaniemi","2021","9","30","00:00","10.4","4.1","157","1032.3"
"Helsinki Kaisaniemi","2021","9","30","01:00","10.2","3.7","154","1032.2"
"Helsinki Kaisaniemi","2021","9","30","02:00","10.2","4.1","158","1032.3"
"Helsinki Kaisaniemi","2021","9","30","03:00","10.2","4","154","1032.1"
"Helsinki Kaisaniemi","2021","9","30","04:00","10.2","4.3","156","1031.8"
"Helsinki Kaisaniemi","2021","9","30","05:00","10.2","4.5","153","1031.4"
"Helsinki Kaisaniemi","2021","9","30","06:00","10.2","4.3","149","1031.2"
"Helsinki Kaisaniemi","2021","9","30","07:00","10.3","4","141","1031"
"Helsinki Kaisaniemi","2021","9","30","08:00","10.3","4.1","141","1030.9"
"Helsinki Kaisaniemi","2021","9","30","09:00","10.1","4.5","148","1030.9"
"Helsinki Kaisaniemi","2021","9","30","10:00","10","4.8","149","1031"
"Helsinki Kaisaniemi","2021","9","30","11:00","10.2","5.8","143","1030.9"
"Helsinki Kaisaniemi","2021","9","30","12:00","9.8","5.7","140","1031"
"Helsinki Kaisaniemi","2021","9","30","13:00","9.8","5.3","139","1030.9"
"Helsinki Kaisaniemi","2021","9","30","14:00","9.7","4.2","132","1030.6"
"Helsinki Kaisaniemi","2021","9","30","15:00","10","4.8","121","1030.3"
"Helsinki Kaisaniemi","2021","9","30","16:00","10.2","4.9","124","1029.9"
"Helsinki Kaisaniemi","2021","9","30","17:00","10.3","4.4","132","1029.6"
"Helsinki Kaisaniemi","2021","9","30","18:00","10.2","4.4","125","1029.2"
"Helsinki Kaisaniemi","2021","9","30","19:00","10.1","4.3","123","1028.8"
"Helsinki Kaisaniemi","2021","9","30","20:00","10.1","4.7","121","1028.7"
"Helsinki Kaisaniemi","2021","9","30","21:00","10.1","2.8","124","1028.8"
"Helsinki Kaisaniemi","2021","9","30","22:00","9.9","2.7","136","1029.1"
"Helsinki Kaisaniemi","2021","9","30","23:00","9.9","3.9","161","1029"
"Helsinki Kaisaniemi","2021","10","1","00:00","9.7","4.5","168","1028.7"
"Helsinki Kaisaniemi","2021","10","1","01:00","9.8","5","168","1028.5"
"Helsinki Kaisaniemi","2021","10","1","02:00","9.8","4.9","167","1028.4"
"Helsinki Kaisaniemi","2021","10","1","03:00","9.6","4","158","1028.2"
"Helsinki Kaisaniemi","2021","10","1","04:00","9.4","4.2","153","1027.7"
"Helsinki Kaisaniemi","2021","10","1","05:00","9.3","4.6","159","1027.5"
"Helsinki Kaisaniemi","2021","10","1","06:00","9.3","4.5","158","1027.2"
"Helsinki Kaisaniemi","2021","10","1","07:00","8.9","4.4","161","1027.2"
"Helsinki Kaisaniemi","2021","10","1","08:00","8.6","4","159","1027.2"
"Helsinki Kaisaniemi","2021","10","1","09:00","8.6","4.1","159","1027.1"
"Helsinki Kaisaniemi","2021","10","1","10:00","8.8","3.8","176","1027.4"
"Helsinki Kaisaniemi","2021","10","1","11:00","9","3.3","183","1027.5"
"Helsinki Kaisaniemi","2021","10","1","12:00","9.5","3.4","196","1027.8"
"Helsinki Kaisaniemi","2021","10","1","13:00","9.9","3.1","197","1028"
"Helsinki Kaisaniemi","2021","10","1","14:00","10.5","2.9","197","1028.1"
"Helsinki Kaisaniemi","2021","10","1","15:00","10.8","3.5","178","1028.2"
"Helsinki Kaisaniemi","2021","10","1","16:00","10.9","3.9","168","1028"
"Helsinki Kaisaniemi","2021","10","1","17:00","10.8","4.4","162","1027.9"
"Helsinki Kaisaniemi","2021","10","1","18:00","10.6","4.1","162","1027.9"
"Helsinki Kaisaniemi","2021","10","1","19:00","10.7","4.4","158","1027.7"
"Helsinki Kaisaniemi","2021","10","1","20:00","10.7","4.9","158","1027.7"
"Helsinki Kaisaniemi","2021","10","1","21:00","10.8","5","162","1027.8"
"Helsinki Kaisaniemi","2021","10","1","22:00","10.6","4.6","176","1027.8"
"Helsinki Kaisaniemi","2021","10","1","23:00","10.5","3.7","189","1027.9"
"Helsinki Kaisaniemi","2021","10","2","00:00","10.5","3.8","180","1027.9"
"Helsinki Kaisaniemi","2021","10","2","01:00","10.5","3.6","170","1027.8"
"Helsinki Kaisaniemi","2021","10","2","02:00","10.5","3.8","174","1027.7"
"Helsinki Kaisaniemi","2021","10","2","03:00","10.3","4.1","163","1027.6"
"Helsinki Kaisaniemi","2021","10","2","04:00","10.1","4","158","1027.6"
"Helsinki Kaisaniemi","2021","10","2","05:00","10.5","3.4","178","1027.3"
"Helsinki Kaisaniemi","2021","10","2","06:00","10.4","3.4","179","1027.1"
"Helsinki Kaisaniemi","2021","10","2","07:00","10.3","3.9","161","1026.9"
"Helsinki Kaisaniemi","2021","10","2","08:00","10","4.4","160","1026.9"
"Helsinki Kaisaniemi","2021","10","2","09:00","9.9","4.1","164","1026.9"
"Helsinki Kaisaniemi","2021","10","2","10:00","10.3","3.5","154","1026.8"
"Helsinki Kaisaniemi","2021","10","2","11:00","10.7","4.8","153","1026.9"
"Helsinki Kaisaniemi","2021","10","2","12:00","11.5","4.1","134","1026.7"
"Helsinki Kaisaniemi","2021","10","2","13:00","11.6","5","148","1026.6"
"Helsinki Kaisaniemi","2021","10","2","14:00","11.9","5.6","149","1026.3"
"Helsinki Kaisaniemi","2021","10","2","15:00","11.6","5.1","147","1026"
"Helsinki Kaisaniemi","2021","10","2","16:00","12.1","4.2","121","1025.7"
"Helsinki Kaisaniemi","2021","10","2","17:00","12.4","4.3","115","1025.3"
"Helsinki Kaisaniemi","2021","10","2","18:00","12","3.7","116","1025.1"
"Helsinki Kaisaniemi","2021","10","2","19:00","11.3","3.7","117","1024.9"
"Helsinki Kaisaniemi","2021","10","2","20:00","11.1","3","129","1025"
"Helsinki Kaisaniemi","2021","10","2","21:00","12","3.9","148","1025.1"
"Helsinki Kaisaniemi","2021","10","2","22:00","11.7","4.3","142","1025"
"Helsinki Kaisaniemi","2021","10","2","23:00","11.5","4.8","150","1025"
"Helsinki Kaisaniemi","2021","10","3","00:00","11.2","4.8","156","1025"
"Helsinki Kaisaniemi","2021","10","3","01:00","10.7","4","150","1024.9"
"Helsinki Kaisaniemi","2021","10","3","02:00","10.7","4.4","149","1024.8"
"Helsinki Kaisaniemi","2021","10","3","03:00","10.4","3.9","138","1024.7"
"Helsinki Kaisaniemi","2021","10","3","04:00","10.1","4.1","137","1024.5"
"Helsinki Kaisaniemi","2021","10","3","05:00","10.1","3.9","135","1023.9"
"Helsinki Kaisaniemi","2021","10","3","06:00","10.1","4.2","146","1023.7"
"Helsinki Kaisaniemi","2021","10","3","07:00","9.6","4","143","1023.6"
"Helsinki Kaisaniemi","2021","10","3","08:00","9.3","4.2","135","1023.4"
"Helsinki Kaisaniemi","2021","10","3","09:00","9.6","4.9","130","1023.5"
"Helsinki Kaisaniemi","2021","10","3","10:00","10.4","5.1","131","1023.6"
"Helsinki Kaisaniemi","2021","10","3","11:00","10.8","5.3","130","1023.6"
"Helsinki Kaisaniemi","2021","10","3","12:00","11.4","6.2","123","1023.7"
"Helsinki Kaisaniemi","2021","10","3","13:00","11.9","7.3","114","1023.4"
"Helsinki Kaisaniemi","2021","10","3","14:00","12.3","7.1","113","1023"
"Helsinki Kaisaniemi","2021","10","3","15:00","13","6.9","111","1022.6"
"Helsinki Kaisaniemi","2021","10","3","16:00","13","6.8","113","1022.5"
"Helsinki Kaisaniemi","2021","10","3","17:00","12.8","6.3","115","1022.2"
"Helsinki Kaisaniemi","2021","10","3","18:00","12.6","5.1","127","1022.1"
"Helsinki Kaisaniemi","2021","10","3","19:00","12.5","5.3","133","1022.1"
"Helsinki Kaisaniemi","2021","10","3","20:00","12.2","4.8","130","1022.5"
"Helsinki Kaisaniemi","2021","10","3","21:00","11.8","4.4","131","1022.7"
"Helsinki Kaisaniemi","2021","10","3","22:00","11.6","4.7","140","1022.6"
"Helsinki Kaisaniemi","2021","10","3","23:00","11.5","5.5","147","1022.6"
"Helsinki Kaisaniemi","2021","10","4","00:00","11.2","5.4","151","1022.8"
"Helsinki Kaisaniemi","2021","10","4","01:00","11","5.5","156","1023.2"
"Helsinki Kaisaniemi","2021","10","4","02:00","10.7","5.1","150","1023.3"
"Helsinki Kaisaniemi","2021","10","4","03:00","10.3","5.3","148","1023.2"
"Helsinki Kaisaniemi","2021","10","4","04:00","10.2","5.5","149","1023"
"Helsinki Kaisaniemi","2021","10","4","05:00","9.9","5.4","148","1022.9"
"Helsinki Kaisaniemi","2021","10","4","06:00","9.7","5.3","147","1022.8"
"Helsinki Kaisaniemi","2021","10","4","07:00","9.5","5.3","142","1022.4"
"Helsinki Kaisaniemi","2021","10","4","08:00","9.4","5.3","142","1022.3"
"Helsinki Kaisaniemi","2021","10","4","09:00","9.6","4.7","144","1022.8"
"Helsinki Kaisaniemi","2021","10","4","10:00","10.1","4.8","148","1023.2"
"Helsinki Kaisaniemi","2021","10","4","11:00","10.6","4.9","138","1023.3"
"Helsinki Kaisaniemi","2021","10","4","12:00","11.3","5.7","121","1023.3"
"Helsinki Kaisaniemi","2021","10","4","13:00","11.7","6.4","118","1023.1"
"Helsinki Kaisaniemi","2021","10","4","14:00","12.3","6.4","117","1022.8"
"Helsinki Kaisaniemi","2021","10","4","15:00","13.5","4.8","126","1022.7"
"Helsinki Kaisaniemi","2021","10","4","16:00","13.8","4.4","131","1022.7"
"Helsinki Kaisaniemi","2021","10","4","17:00","14.1","5.4","147","1022.5"
"Helsinki Kaisaniemi","2021","10","4","18:00","13.9","5.8","150","1022.5"
"Helsinki Kaisaniemi","2021","10","4","19:00","13.8","5.8","151","1022.7"
"Helsinki Kaisaniemi","2021","10","4","20:00","13.4","5.1","142","1023"
"Helsinki Kaisaniemi","2021","10","4","21:00","12.7","4.8","134","1023.1"
"Helsinki Kaisaniemi","2021","10","4","22:00","12.7","5.1","142","1022.9"
"Helsinki Kaisaniemi","2021","10","4","23:00","12.9","5.6","147","1022.8"
"Helsinki Kaisaniemi","2021","10","5","00:00","12.6","5.2","148","1022.9"
"Helsinki Kaisaniemi","2021","10","5","01:00","12.3","4.8","153","1022.9"
"Helsinki Kaisaniemi","2021","10","5","02:00","12.3","4.8","154","1022.6"
"Helsinki Kaisaniemi","2021","10","5","03:00","12.1","5","158","1022.3"
"Helsinki Kaisaniemi","2021","10","5","04:00","11.9","4.8","161","1022"
"Helsinki Kaisaniemi","2021","10","5","05:00","11.8","5.1","166","1021.8"
"Helsinki Kaisaniemi","2021","10","5","06:00","11.8","5","167","1021.9"
"Helsinki Kaisaniemi","2021","10","5","07:00","11.8","5.1","166","1021.8"
"Helsinki Kaisaniemi","2021","10","5","08:00","11.7","4.5","166","1021.9"
"Helsinki Kaisaniemi","2021","10","5","09:00","11.6","5.1","171","1022.3"
"Helsinki Kaisaniemi","2021","10","5","10:00","11.5","5.2","173","1022.7"
"Helsinki Kaisaniemi","2021","10","5","11:00","11.2","5.3","176","1023"
"Helsinki Kaisaniemi","2021","10","5","12:00","10.5","5.1","175","1023.4"
"Helsinki Kaisaniemi","2021","10","5","13:00","10.3","4.8","170","1023.4"
"Helsinki Kaisaniemi","2021","10","5","14:00","10.2","4.7","166","1023.7"
"Helsinki Kaisaniemi","2021","10","5","15:00","10.1","4.7","166","1023.9"
"Helsinki Kaisaniemi","2021","10","5","16:00","10.1","4.7","161","1024"
"Helsinki Kaisaniemi","2021","10","5","17:00","10.2","4.3","159","1024.1"
"Helsinki Kaisaniemi","2021","10","5","18:00","9.9","3.4","135","1024.3"
"Helsinki Kaisaniemi","2021","10","5","19:00","10","4","116","1024.4"
"Helsinki Kaisaniemi","2021","10","5","20:00","10.3","4","123","1024.3"
"Helsinki Kaisaniemi","2021","10","5","21:00","10.6","4","141","1024.3"
"Helsinki Kaisaniemi","2021","10","5","22:00","10.6","3.6","139","1024.3"
"Helsinki Kaisaniemi","2021","10","5","23:00","11","3.7","144","1024.2"
"Helsinki Kaisaniemi","2021","10","6","00:00","11","4.1","140","1024.2"
"Helsinki Kaisaniemi","2021","10","6","01:00","11.1","4.1","138","1024.1"
"Helsinki Kaisaniemi","2021","10","6","02:00","11","4.2","135","1024"
"Helsinki Kaisaniemi","2021","10","6","03:00","11.2","4.2","140","1023.8"
"Helsinki Kaisaniemi","2021","10","6","04:00","11.3","4.4","141","1023.5"
"Helsinki Kaisaniemi","2021","10","6","05:00","11.1","4.4","141","1023.3"
"Helsinki Kaisaniemi","2021","10","6","06:00","10.9","4.3","142","1023.1"
"Helsinki Kaisaniemi","2021","10","6","07:00","10.8","4.7","144","1022.9"
"Helsinki Kaisaniemi","2021","10","6","08:00","10.8","4.8","148","1023"
"Helsinki Kaisaniemi","2021","10","6","09:00","10.8","4.8","147","1023"
"Helsinki Kaisaniemi","2021","10","6","10:00","10.9","5.4","150","1023.1"
"Helsinki Kaisaniemi","2021","10","6","11:00","11.3","5.7","153","1023"
"Helsinki Kaisaniemi","2021","10","6","12:00","12.1","5.8","157","1023.3"
"Helsinki Kaisaniemi","2021","10","6","13:00","12.8","5.7","160","1023.4"
"Helsinki Kaisaniemi","2021","10","6","14:00","12.8","5.2","149","1023.4"
"Helsinki Kaisaniemi","2021","10","6","15:00","12.8","4","144","1023.7"
"Helsinki Kaisaniemi","2021","10","6","16:00","13","4.2","154","1023.7"
"Helsinki Kaisaniemi","2021","10","6","17:00","13.2","3.6","158","1024"
"Helsinki Kaisaniemi","2021","10","6","18:00","13","3.5","159","1024.2"
"Helsinki Kaisaniemi","2021","10","6","19:00","12.9","3.3","159","1024.7"
"Helsinki Kaisaniemi","2021","10","6","20:00","13.4","3.7","177","1025.3"
"Helsinki Kaisaniemi","2021","10","6","21:00","13.1","3.4","165","1025.9"
"Helsinki Kaisaniemi","2021","10","6","22:00","13.2","3.1","179","1026.5"
"Helsinki Kaisaniemi","2021","10","6","23:00","12.9","3.1","178","1026.8"
"Helsinki Kaisaniemi","2021","10","7","00:00","13","3.7","180","1026.9"
"Helsinki Kaisaniemi","2021","10","7","01:00","12.9","3.9","184","1027"
"Helsinki Kaisaniemi","2021","10","7","02:00","12.8","4.3","193","1027.2"
"Helsinki Kaisaniemi","2021","10","7","03:00","12.6","4.9","190","1027.3"
"Helsinki Kaisaniemi","2021","10","7","04:00","12.5","5.4","195","1027.4"
"Helsinki Kaisaniemi","2021","10","7","05:00","12.1","5","192","1027.5"
"Helsinki Kaisaniemi","2021","10","7","06:00","11.7","5.1","191","1027.6"
"Helsinki Kaisaniemi","2021","10","7","07:00","11.2","5","189","1027.8"
"Helsinki Kaisaniemi","2021","10","7","08:00","11.1","5.8","194","1028.2"
"Helsinki Kaisaniemi","2021","10","7","09:00","10.8","5.8","196","1028.5"
"Helsinki Kaisaniemi","2021","10","7","10:00","11.1","6.8","206","1029"
"Helsinki Kaisaniemi","2021","10","7","11:00","11.3","6.4","204","1029.1"
"Helsinki Kaisaniemi","2021","10","7","12:00","11.6","6.1","205","1029.4"
"Helsinki Kaisaniemi","2021","10","7","13:00","11.6","5.3","210","1029.6"
"Helsinki Kaisaniemi","2021","10","7","14:00","11.5","5.8","212","1029.9"
"Helsinki Kaisaniemi","2021","10","7","15:00","10.9","6.3","219","1030.2"
"Helsinki Kaisaniemi","2021","10","7","16:00","10.3","5.7","223","1030.4"
"Helsinki Kaisaniemi","2021","10","7","17:00","10.2","6","224","1030.4"
"Helsinki Kaisaniemi","2021","10","7","18:00","10.5","4.9","227","1030.6"
"Helsinki Kaisaniemi","2021","10","7","19:00","10.6","5.3","227","1031.1"
"Helsinki Kaisaniemi","2021","10","7","20:00","10.9","5.4","227","1031.6"
"Helsinki Kaisaniemi","2021","10","7","21:00","10.9","5.6","226","1031.9"
"Helsinki Kaisaniemi","2021","10","7","22:00","11.2","5.3","221","1032"
"Helsinki Kaisaniemi","2021","10","7","23:00","11.4","4.8","229","1032.3"
"Helsinki Kaisaniemi","2021","10","8","00:00","11.3","4.4","228","1032.6"
"Helsinki Kaisaniemi","2021","10","8","01:00","11.3","3.1","235","1032.7"
