"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila keskiarvo [°C]","Pilvisyys [1/8]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]","Tuulen suunta keskiarvo [°]","Keskituulen nopeus keskiarvo [m/s]"
"Helsinki Kaisaniemi","2024","6","20","04:00","14.1","Puolipilvistä (5/8)","1004.3","296.5","5.4"
"Helsinki Kaisaniemi","2024","6","20","05:00","13.7","Puolipilvistä (5/8)","1004.5","298.3","5.3"
"Helsinki Kaisaniemi","2024","6","20","06:00","13.3","Selkeää (0/8)","1004.7","299.8","6.4"
"Helsinki Kaisaniemi","2024","6","20","07:00","13.3","Selkeää (0/8)","1005.1","299.2","6.6"
"Helsinki Kaisaniemi","2024","6","20","08:00","13.7","Selkeää (0/8)","1005.5","302.2","7.5"
"Helsinki Kaisaniemi","2024","6","20","09:00","14.5","Selkeää (0/8)","1005.7","302.2","7.3"
"Helsinki Kaisaniemi","2024","6","20","10:00","15.3","Selkeää (0/8)","1006.1","300.8","7.9"
"Helsinki Kaisaniemi","2024","6","20","11:00","16.2","Selkeää (0/8)","1006.9","301.2","7.9"
"Helsinki Kaisaniemi","2024","6","20","12:00","17.3","Selkeää (0/8)","1007.2","294.7","8"
"Helsinki Kaisaniemi","2024","6","20","13:00","18.4","Puolipilvistä (4/8)","1007.8","303.9","7.9"
"Helsinki Kaisaniemi","2024","6","20","14:00","18.9","Selkeää (1/8)","1008.1","303.8","6.4"
"Helsinki Kaisaniemi","2024","6","20","15:00","19.8","Melko selkeää (3/8)","1008.3","293.7","6.8"
"Helsinki Kaisaniemi","2024","6","20","16:00","19.9","Melko pilvistä (7/8)","1008.4","290.4","7.8"
"Helsinki Kaisaniemi","2024","6","20","17:00","19.9","Puolipilvistä (4/8)","1008.4","291.1","6.6"
"Helsinki Kaisaniemi","2024","6","20","18:00","19.1","Melko pilvistä (7/8)","1008.7","281.5","5.8"
"Helsinki Kaisaniemi","2024","6","20","19:00","17.3","Melko selkeää (3/8)","1008.9","235.2","4.8"
"Helsinki Kaisaniemi","2024","6","20","20:00","16.3","Melko pilvistä (7/8)","1008.8","226.4","4.8"
"Helsinki Kaisaniemi","2024","6","20","21:00","15.4","Puolipilvistä (5/8)","1008.5","229.4","4.3"
"Helsinki Kaisaniemi","2024","6","20","22:00","15","Melko selkeää (3/8)","1008.3","230.8","3.2"
"Helsinki Kaisaniemi","2024","6","20","23:00","14.8","Selkeää (0/8)","1008.2","239.6","2.3"
"Helsinki Kaisaniemi","2024","6","21","00:00","14.4","Selkeää (0/8)","1008.4","249.1","2.5"
"Helsinki Kaisaniemi","2024","6","21","01:00","13.6","Selkeää (0/8)","1008.8","274.3","2.8"
"Helsinki Kaisaniemi","2024","6","21","02:00","12.8","Selkeää (0/8)","1008.8","289","2.3"
"Helsinki Kaisaniemi","2024","6","21","03:00","12.2","Selkeää (0/8)","1008.7","292.6","1.2"
"Helsinki Kaisaniemi","2024","6","21","04:00","11.6","Selkeää (0/8)","1008.7","312.8","1.1"
"Helsinki Kaisaniemi","2024","6","21","05:00","12.2","Selkeää (0/8)","1008.8","208.5","1.8"
"Helsinki Kaisaniemi","2024","6","21","06:00","12.6","Selkeää (0/8)","1009","256.3","1.3"
"Helsinki Kaisaniemi","2024","6","21","07:00","14.2","Selkeää (1/8)","1008.8","86.1","1"
"Helsinki Kaisaniemi","2024","6","21","08:00","16.9","Selkeää (0/8)","1008.8","134.6","1.4"
"Helsinki Kaisaniemi","2024","6","21","09:00","17.7","Selkeää (0/8)","1008.5","146.4","2.3"
"Helsinki Kaisaniemi","2024","6","21","10:00","18.5","Melko selkeää (2/8)","1008.9","270","1.4"
"Helsinki Kaisaniemi","2024","6","21","11:00","18.9","Selkeää (1/8)","1008.9","249.8","2.6"
"Helsinki Kaisaniemi","2024","6","21","12:00","20","Melko selkeää (3/8)","1009.1","282.7","4.1"
"Helsinki Kaisaniemi","2024","6","21","13:00","21.3","Selkeää (0/8)","1009.5","304.4","6.5"
"Helsinki Kaisaniemi","2024","6","21","14:00","21.3","Selkeää (0/8)","1010","305.3","8"
"Helsinki Kaisaniemi","2024","6","21","15:00","21.4","Selkeää (0/8)","1010.3","296.1","7"
"Helsinki Kaisaniemi","2024","6","21","16:00","21.1","Selkeää (0/8)","1010.6","297.9","7.3"
"Helsinki Kaisaniemi","2024","6","21","17:00","20.9","Selkeää (0/8)","1010.8","295.9","6.7"
"Helsinki Kaisaniemi","2024","6","21","18:00","20.7","Selkeää (0/8)","1011.1","319.6","7.6"
"Helsinki Kaisaniemi","2024","6","21","19:00","19.9","Selkeää (0/8)","1011.3","305.9","6.7"
"Helsinki Kaisaniemi","2024","6","21","20:00","19.2","Selkeää (0/8)","1011.5","313.6","5.8"
"Helsinki Kaisaniemi","2024","6","21","21:00","18.3","Selkeää (0/8)","1011.6","316.3","6.8"
"Helsinki Kaisaniemi","2024","6","21","22:00","17.2","Selkeää (0/8)","1011.9","314.4","5.3"
"Helsinki Kaisaniemi","2024","6","21","23:00","16.1","Puolipilvistä (5/8)","1012.3","317.8","4.4"
"Helsinki Kaisaniemi","2024","6","22","00:00","15.5","Melko pilvistä (7/8)","1012.7","309.5","3.5"
"Helsinki Kaisaniemi","2024","6","22","01:00","14.4","Puolipilvistä (4/8)","1013.1","297.4","3.4"
"Helsinki Kaisaniemi","2024","6","22","02:00","13.1","Selkeää (1/8)","1013.1","319.9","3.2"
"Helsinki Kaisaniemi","2024","6","22","03:00","12.3","Selkeää (0/8)","1013.5","314.4","3"
"Helsinki Kaisaniemi","2024","6","22","04:00","12","Selkeää (0/8)","1013.7","318.6","3.2"
"Helsinki Kaisaniemi","2024","6","22","05:00","11.4","Selkeää (0/8)","1013.9","324.4","3"
"Helsinki Kaisaniemi","2024","6","22","06:00","11.5","Selkeää (0/8)","1013.8","325.3","2.7"
"Helsinki Kaisaniemi","2024","6","22","07:00","13.4","Selkeää (0/8)","1013.5","329","3.4"
"Helsinki Kaisaniemi","2024","6","22","08:00","15.9","Selkeää (0/8)","1013.3","328.7","2.8"
"Helsinki Kaisaniemi","2024","6","22","09:00","18","Selkeää (0/8)","1013.4","340.7","2"
"Helsinki Kaisaniemi","2024","6","22","10:00","19.2","Selkeää (0/8)","1013.2","220","1.4"
"Helsinki Kaisaniemi","2024","6","22","11:00","19.6","Selkeää (0/8)","1012.8","166.7","2.2"
"Helsinki Kaisaniemi","2024","6","22","12:00","18.9","Selkeää (0/8)","1012.7","202.6","3.9"
"Helsinki Kaisaniemi","2024","6","22","13:00","18.5","Selkeää (0/8)","1012.6","203.5","4.4"
"Helsinki Kaisaniemi","2024","6","22","14:00","18.5","Selkeää (0/8)","1012.7","218.8","4.3"
"Helsinki Kaisaniemi","2024","6","22","15:00","19","Selkeää (0/8)","1012.5","219.5","5.1"
"Helsinki Kaisaniemi","2024","6","22","16:00","18.5","Selkeää (0/8)","1012.4","218.9","4.5"
"Helsinki Kaisaniemi","2024","6","22","17:00","18.7","Selkeää (0/8)","1012","218.5","4.4"
"Helsinki Kaisaniemi","2024","6","22","18:00","19.2","Selkeää (0/8)","1011.7","217.2","3.8"
"Helsinki Kaisaniemi","2024","6","22","19:00","19.8","Selkeää (0/8)","1011","203.5","2.8"
"Helsinki Kaisaniemi","2024","6","22","20:00","19.4","Selkeää (0/8)","1010.6","201.9","2.5"
"Helsinki Kaisaniemi","2024","6","22","21:00","18.8","Selkeää (0/8)","1010.1","139.4","1.6"
"Helsinki Kaisaniemi","2024","6","22","22:00","18","Selkeää (0/8)","1010","142.5","1.6"
"Helsinki Kaisaniemi","2024","6","22","23:00","17","Selkeää (0/8)","1010.2","146.3","1.6"
"Helsinki Kaisaniemi","2024","6","23","00:00","15","Selkeää (0/8)","1010.1","116.6","1.3"
"Helsinki Kaisaniemi","2024","6","23","01:00","14.2","Selkeää (0/8)","1010","107.3","1.4"
"Helsinki Kaisaniemi","2024","6","23","02:00","13.3","Selkeää (0/8)","1010","101.3","1.1"
"Helsinki Kaisaniemi","2024","6","23","03:00","12.5","Selkeää (0/8)","1009.9","85.5","1.3"
"Helsinki Kaisaniemi","2024","6","23","04:00","13.2","Selkeää (0/8)","1009.8","106.4","1.6"
"Helsinki Kaisaniemi","2024","6","23","05:00","13","Selkeää (0/8)","1009.7","89.1","1.9"
"Helsinki Kaisaniemi","2024","6","23","06:00","14","Selkeää (0/8)","1009.6","63.5","2.5"
"Helsinki Kaisaniemi","2024","6","23","07:00","15.8","Selkeää (0/8)","1009.6","68.8","2"
"Helsinki Kaisaniemi","2024","6","23","08:00","18.7","Selkeää (0/8)","1009.7","85.6","2.4"
"Helsinki Kaisaniemi","2024","6","23","09:00","20.1","Selkeää (0/8)","1009.8","107.4","2.9"
"Helsinki Kaisaniemi","2024","6","23","10:00","19.5","Selkeää (0/8)","1010","129.8","3.5"
"Helsinki Kaisaniemi","2024","6","23","11:00","20.6","Selkeää (0/8)","1010.1","100.9","3.6"
"Helsinki Kaisaniemi","2024","6","23","12:00","21.2","Selkeää (0/8)","1010.2","100","3.9"
"Helsinki Kaisaniemi","2024","6","23","13:00","21.3","Selkeää (0/8)","1010.3","115.8","3.7"
"Helsinki Kaisaniemi","2024","6","23","14:00","21.3","Selkeää (0/8)","1010.4","121.5","4.4"
"Helsinki Kaisaniemi","2024","6","23","15:00","21.5","Selkeää (0/8)","1010.4","116.7","4.4"
"Helsinki Kaisaniemi","2024","6","23","16:00","20.8","Selkeää (0/8)","1010.5","125.9","4.4"
"Helsinki Kaisaniemi","2024","6","23","17:00","20.9","Selkeää (0/8)","1010.5","131.5","3.4"
"Helsinki Kaisaniemi","2024","6","23","18:00","21.5","Selkeää (0/8)","1010.3","116","3.2"
"Helsinki Kaisaniemi","2024","6","23","19:00","21.4","Selkeää (0/8)","1010.3","119.2","3.4"
"Helsinki Kaisaniemi","2024","6","23","20:00","20.7","Selkeää (0/8)","1010.5","101","2.4"
"Helsinki Kaisaniemi","2024","6","23","21:00","19.9","Melko selkeää (2/8)","1010.7","137","2.1"
"Helsinki Kaisaniemi","2024","6","23","22:00","18.9","Puolipilvistä (5/8)","1011","136","1.9"
"Helsinki Kaisaniemi","2024","6","23","23:00","17.2","Puolipilvistä (4/8)","1011.4","114.6","0.5"
"Helsinki Kaisaniemi","2024","6","24","00:00","16","Melko pilvistä (7/8)","1011.6","288.5","0.4"
"Helsinki Kaisaniemi","2024","6","24","01:00","16.3","Pilvistä (8/8)","1011.6","281","0.6"
"Helsinki Kaisaniemi","2024","6","24","02:00","16.6","Melko pilvistä (7/8)","1012","145.5","0.3"
"Helsinki Kaisaniemi","2024","6","24","03:00","16.3","Pilvistä (8/8)","1012.5","276.1","0.7"
"Helsinki Kaisaniemi","2024","6","24","04:00","16.2","Pilvistä (8/8)","1012.8","274.5","0.5"
"Helsinki Kaisaniemi","2024","6","24","05:00","16.6","Pilvistä (8/8)","1012.9","175.6","1.3"
"Helsinki Kaisaniemi","2024","6","24","06:00","16.7","Pilvistä (8/8)","1013.2","59.8","0.7"
"Helsinki Kaisaniemi","2024","6","24","07:00","17","Pilvistä (8/8)","1013.4","103.4","1.2"
"Helsinki Kaisaniemi","2024","6","24","08:00","17","Pilvistä (8/8)","1013.7","56.4","1.2"
"Helsinki Kaisaniemi","2024","6","24","09:00","18.6","Pilvistä (8/8)","1013.9","50.5","1.4"
"Helsinki Kaisaniemi","2024","6","24","10:00","19.5","Melko pilvistä (7/8)","1014","116.6","1.3"
"Helsinki Kaisaniemi","2024","6","24","11:00","21.3","Melko pilvistä (6/8)","1014.5","162.9","1.6"
"Helsinki Kaisaniemi","2024","6","24","12:00","21","Melko pilvistä (7/8)","1014.8","193.6","2.3"
"Helsinki Kaisaniemi","2024","6","24","13:00","21.4","Melko pilvistä (7/8)","1014.9","204.5","3.5"
"Helsinki Kaisaniemi","2024","6","24","14:00","20.7","Melko pilvistä (7/8)","1015.2","231.2","2.7"
"Helsinki Kaisaniemi","2024","6","24","15:00","19.8","Melko pilvistä (7/8)","1015.6","118.7","2.3"
"Helsinki Kaisaniemi","2024","6","24","16:00","20.5","Melko selkeää (3/8)","1015.4","180.7","3.2"
"Helsinki Kaisaniemi","2024","6","24","17:00","21.3","Selkeää (0/8)","1015.2","204.6","3.7"
"Helsinki Kaisaniemi","2024","6","24","18:00","21.3","Selkeää (0/8)","1015","216.9","3.8"
"Helsinki Kaisaniemi","2024","6","24","19:00","20.5","Puolipilvistä (5/8)","1015","206","2.1"
"Helsinki Kaisaniemi","2024","6","24","20:00","21.6","Melko pilvistä (7/8)","1015.2","210.8","1.8"
"Helsinki Kaisaniemi","2024","6","24","21:00","21.4","Melko pilvistä (7/8)","1015.6","84.7","1.6"
"Helsinki Kaisaniemi","2024","6","24","22:00","21.9","Selkeää (0/8)","1015.9","317.7","3.7"
"Helsinki Kaisaniemi","2024","6","24","23:00","20.1","Selkeää (0/8)","1016.4","306.4","3.2"
"Helsinki Kaisaniemi","2024","6","25","00:00","19.3","Selkeää (0/8)","1017","305.3","3.7"
"Helsinki Kaisaniemi","2024","6","25","01:00","17.9","Selkeää (0/8)","1017.7","326.8","4.2"
"Helsinki Kaisaniemi","2024","6","25","02:00","16.5","Selkeää (0/8)","1018.1","326.7","4.1"
"Helsinki Kaisaniemi","2024","6","25","03:00","15.3","Selkeää (0/8)","1018.4","324.5","4"
"Helsinki Kaisaniemi","2024","6","25","04:00","14.1","Selkeää (0/8)","1018.3","326.8","3.5"
"Helsinki Kaisaniemi","2024","6","25","05:00","13.2","Selkeää (0/8)","1018.6","322.4","3.3"
"Helsinki Kaisaniemi","2024","6","25","06:00","13.5","Selkeää (0/8)","1019.1","328.4","3.7"
"Helsinki Kaisaniemi","2024","6","25","07:00","15","Selkeää (0/8)","1019.4","342.6","3.8"
"Helsinki Kaisaniemi","2024","6","25","08:00","17","Selkeää (0/8)","1019.7","348.2","3.6"
"Helsinki Kaisaniemi","2024","6","25","09:00","19.2","Selkeää (0/8)","1020","333.8","3.5"
"Helsinki Kaisaniemi","2024","6","25","10:00","20.7","Selkeää (0/8)","1020.1","351","3.1"
"Helsinki Kaisaniemi","2024","6","25","11:00","22","Selkeää (0/8)","1020.2","321.2","3.3"
"Helsinki Kaisaniemi","2024","6","25","12:00","22.7","Selkeää (0/8)","1020.4","314","3.5"
"Helsinki Kaisaniemi","2024","6","25","13:00","24","Selkeää (0/8)","1020.3","312.4","2.8"
"Helsinki Kaisaniemi","2024","6","25","14:00","23.4","Selkeää (0/8)","1020.1","235.1","4.2"
"Helsinki Kaisaniemi","2024","6","25","15:00","22.3","Selkeää (0/8)","1020.1","222","5.4"
"Helsinki Kaisaniemi","2024","6","25","16:00","21.9","Selkeää (0/8)","1019.8","220.5","6.1"
"Helsinki Kaisaniemi","2024","6","25","17:00","22","Selkeää (0/8)","1019.3","219.3","5.6"
"Helsinki Kaisaniemi","2024","6","25","18:00","22.9","Selkeää (0/8)","1018.9","222.2","4.4"
"Helsinki Kaisaniemi","2024","6","25","19:00","22.8","Selkeää (0/8)","1018.5","225.9","4.5"
"Helsinki Kaisaniemi","2024","6","25","20:00","22.6","Selkeää (0/8)","1018.2","221.8","4"
"Helsinki Kaisaniemi","2024","6","25","21:00","22.2","Selkeää (0/8)","1017.9","233.7","2.5"
"Helsinki Kaisaniemi","2024","6","25","22:00","22","Selkeää (0/8)","1017.7","242.5","3.1"
"Helsinki Kaisaniemi","2024","6","25","23:00","22.1","Selkeää (0/8)","1017.7","261.7","3.3"
"Helsinki Kaisaniemi","2024","6","26","00:00","21.1","Selkeää (0/8)","1017.9","279.3","3.6"
"Helsinki Kaisaniemi","2024","6","26","01:00","20.1","Selkeää (0/8)","1018.1","284","3.9"
"Helsinki Kaisaniemi","2024","6","26","02:00","19.2","Selkeää (0/8)","1018.2","288.4","3.5"
"Helsinki Kaisaniemi","2024","6","26","03:00","17.5","Selkeää (0/8)","1018.3","285.8","2.8"
"Helsinki Kaisaniemi","2024","6","26","04:00","16.3","Selkeää (0/8)","1018.6","280.3","2.4"
"Helsinki Kaisaniemi","2024","6","26","05:00","15.7","Selkeää (0/8)","1018.6","269.8","2.2"
"Helsinki Kaisaniemi","2024","6","26","06:00","16.9","Selkeää (0/8)","1018.5","257.6","2.5"
"Helsinki Kaisaniemi","2024","6","26","07:00","17.7","Selkeää (0/8)","1018.4","261.3","3.2"
"Helsinki Kaisaniemi","2024","6","26","08:00","19","Selkeää (0/8)","1018.3","253.1","2.8"
"Helsinki Kaisaniemi","2024","6","26","09:00","19.6","Selkeää (0/8)","1018.1","222","2.4"
"Helsinki Kaisaniemi","2024","6","26","10:00","19.9","Selkeää (0/8)","1017.9","215","3"
"Helsinki Kaisaniemi","2024","6","26","11:00","20.4","Selkeää (0/8)","1017.6","219.1","5.3"
"Helsinki Kaisaniemi","2024","6","26","12:00","21.1","Selkeää (0/8)","1017.4","219.8","6.2"
"Helsinki Kaisaniemi","2024","6","26","13:00","20.9","Selkeää (0/8)","1017.3","216.4","7.3"
"Helsinki Kaisaniemi","2024","6","26","14:00","21.3","Selkeää (0/8)","1017","216.5","6.7"
"Helsinki Kaisaniemi","2024","6","26","15:00","21.9","Selkeää (0/8)","1016.8","214.4","6.3"
"Helsinki Kaisaniemi","2024","6","26","16:00","22.3","Selkeää (0/8)","1016.6","225.7","5.7"
"Helsinki Kaisaniemi","2024","6","26","17:00","22","Selkeää (0/8)","1016.3","216.8","5.9"
"Helsinki Kaisaniemi","2024","6","26","18:00","22","Selkeää (0/8)","1016","217.8","5.1"
"Helsinki Kaisaniemi","2024","6","26","19:00","21.6","Selkeää (0/8)","1016","217.1","5.7"
"Helsinki Kaisaniemi","2024","6","26","20:00","21.4","Selkeää (0/8)","1015.8","219.7","4.8"
"Helsinki Kaisaniemi","2024","6","26","21:00","20.8","Selkeää (0/8)","1015.8","226.5","3.5"
"Helsinki Kaisaniemi","2024","6","26","22:00","20.3","Selkeää (0/8)","1015.7","236","3"
"Helsinki Kaisaniemi","2024","6","26","23:00","19.9","Selkeää (0/8)","1015.7","254","3.5"
"Helsinki Kaisaniemi","2024","6","27","00:00","19.2","Selkeää (0/8)","1015.9","259.3","2.8"
"Helsinki Kaisaniemi","2024","6","27","01:00","18.5","Selkeää (0/8)","1016.2","269.9","3.4"
"Helsinki Kaisaniemi","2024","6","27","02:00","18.2","Selkeää (0/8)","1016.1","278.8","3.6"
"Helsinki Kaisaniemi","2024","6","27","03:00","17.3","Selkeää (0/8)","1016.3","279.3","3.8"
"Helsinki Kaisaniemi","2024","6","27","04:00","16.4","Selkeää (0/8)","1016.6","277.4","3.7"
"Helsinki Kaisaniemi","2024","6","27","05:00","15.2","Selkeää (0/8)","1016.8","278.1","2.7"
"Helsinki Kaisaniemi","2024","6","27","06:00","15.8","Selkeää (0/8)","1016.7","276.7","2.6"
"Helsinki Kaisaniemi","2024","6","27","07:00","17.1","Selkeää (0/8)","1016.7","286.8","2.3"
"Helsinki Kaisaniemi","2024","6","27","08:00","19.2","Selkeää (0/8)","1016.7","281.2","2.4"
"Helsinki Kaisaniemi","2024","6","27","09:00","20.7","Selkeää (0/8)","1016.8","258.8","2.6"
"Helsinki Kaisaniemi","2024","6","27","10:00","21.7","Selkeää (0/8)","1016.6","235.9","2.7"
"Helsinki Kaisaniemi","2024","6","27","11:00","22.1","Selkeää (0/8)","1016.6","216.3","4.1"
"Helsinki Kaisaniemi","2024","6","27","12:00","22.4","Selkeää (0/8)","1016.6","218.3","5.3"
"Helsinki Kaisaniemi","2024","6","27","13:00","22.3","Selkeää (0/8)","1016.7","218.8","4.5"
"Helsinki Kaisaniemi","2024","6","27","14:00","22.6","Selkeää (0/8)","1016.6","219.9","4.6"
"Helsinki Kaisaniemi","2024","6","27","15:00","23.5","Selkeää (0/8)","1016.4","-","-"
"Helsinki Kaisaniemi","2024","6","27","16:00","23.7","Selkeää (0/8)","1016.2","220.4","4"
"Helsinki Kaisaniemi","2024","6","27","17:00","24.5","Selkeää (0/8)","1016","226.2","4.7"
"Helsinki Kaisaniemi","2024","6","27","18:00","24.7","Selkeää (0/8)","1015.8","236.6","3.8"
"Helsinki Kaisaniemi","2024","6","27","19:00","24.7","Selkeää (0/8)","1015.5","223.3","3"
"Helsinki Kaisaniemi","2024","6","27","20:00","24.8","Selkeää (0/8)","1015.4","238.3","2.8"
"Helsinki Kaisaniemi","2024","6","27","21:00","24.9","Selkeää (0/8)","1015.3","248.5","3.2"
"Helsinki Kaisaniemi","2024","6","27","22:00","24","Selkeää (0/8)","1015.4","264.2","3"
"Helsinki Kaisaniemi","2024","6","27","23:00","22.3","Selkeää (0/8)","1015.4","260.7","3.4"
"Helsinki Kaisaniemi","2024","6","28","00:00","20","Selkeää (0/8)","1015.7","266.2","3.1"
"Helsinki Kaisaniemi","2024","6","28","01:00","18.8","Selkeää (0/8)","1016","264.1","2.4"
"Helsinki Kaisaniemi","2024","6","28","02:00","17.6","Selkeää (0/8)","1016.1","280.8","1.3"
"Helsinki Kaisaniemi","2024","6","28","03:00","16.6","Selkeää (0/8)","1016.1","320.6","1"
"Helsinki Kaisaniemi","2024","6","28","04:00","16.4","Selkeää (0/8)","1016","192.1","0.5"
"Helsinki Kaisaniemi","2024","6","28","05:00","16.8","Selkeää (0/8)","1016.2","157.1","1.4"
"Helsinki Kaisaniemi","2024","6","28","06:00","16.8","Selkeää (0/8)","1016.1","135.2","0.4"
"Helsinki Kaisaniemi","2024","6","28","07:00","19.7","Selkeää (0/8)","1016","114.9","1"
"Helsinki Kaisaniemi","2024","6","28","08:00","22.5","Selkeää (0/8)","1015.8","124.1","1.8"
"Helsinki Kaisaniemi","2024","6","28","09:00","23.5","Selkeää (0/8)","1015.9","131.1","2.4"
"Helsinki Kaisaniemi","2024","6","28","10:00","24.7","Selkeää (0/8)","1015.8","108.3","2.7"
"Helsinki Kaisaniemi","2024","6","28","11:00","25","Selkeää (0/8)","1015.5","119.6","4"
"Helsinki Kaisaniemi","2024","6","28","12:00","25","Selkeää (0/8)","1015.1","119.6","5.3"
"Helsinki Kaisaniemi","2024","6","28","13:00","25.5","Selkeää (0/8)","1015.2","115.7","5.3"
"Helsinki Kaisaniemi","2024","6","28","14:00","25.8","Selkeää (0/8)","1014.9","117","6.3"
"Helsinki Kaisaniemi","2024","6","28","15:00","26.2","Selkeää (0/8)","1014.4","116.6","5.9"
"Helsinki Kaisaniemi","2024","6","28","16:00","26.3","Selkeää (0/8)","1013.7","101.8","4.8"
"Helsinki Kaisaniemi","2024","6","28","17:00","25","Selkeää (1/8)","1013.2","96.9","4.8"
"Helsinki Kaisaniemi","2024","6","28","18:00","24.7","Selkeää (0/8)","1012.8","111.6","4.2"
"Helsinki Kaisaniemi","2024","6","28","19:00","23.7","Selkeää (0/8)","1012.3","119.6","6"
"Helsinki Kaisaniemi","2024","6","28","20:00","23.6","Selkeää (0/8)","1011.9","116.5","4.6"
"Helsinki Kaisaniemi","2024","6","28","21:00","22.8","Selkeää (0/8)","1011.5","109.1","2.6"
"Helsinki Kaisaniemi","2024","6","28","22:00","22","Selkeää (0/8)","1011","107.9","2.9"
"Helsinki Kaisaniemi","2024","6","28","23:00","21.4","Selkeää (0/8)","1010.5","106.7","1.6"
"Helsinki Kaisaniemi","2024","6","29","00:00","20.8","Selkeää (0/8)","1010.1","106.2","2.7"
"Helsinki Kaisaniemi","2024","6","29","01:00","20.6","Selkeää (0/8)","1009.6","105","3"
"Helsinki Kaisaniemi","2024","6","29","02:00","20.9","Selkeää (0/8)","1008.8","113.5","3.9"
"Helsinki Kaisaniemi","2024","6","29","03:00","21.8","Melko selkeää (2/8)","1007.9","121.8","3.6"
"Helsinki Kaisaniemi","2024","6","29","04:00","22.4","Puolipilvistä (5/8)","1007.3","161.6","6.4"
"Helsinki Kaisaniemi","2024","6","29","05:00","20.8","Selkeää (0/8)","1007.6","205.9","3.2"
"Helsinki Kaisaniemi","2024","6","29","06:00","20.7","Melko pilvistä (7/8)","1007.4","257.6","1.6"
"Helsinki Kaisaniemi","2024","6","29","07:00","21.3","Melko pilvistä (7/8)","1007.8","233.4","2.4"
"Helsinki Kaisaniemi","2024","6","29","08:00","20","Melko pilvistä (7/8)","1007.8","221.1","3.5"
"Helsinki Kaisaniemi","2024","6","29","09:00","19.1","Pilvistä (8/8)","1008.2","203.8","4.9"
"Helsinki Kaisaniemi","2024","6","29","10:00","19.1","Melko pilvistä (7/8)","1008.8","218.2","4.4"
"Helsinki Kaisaniemi","2024","6","29","11:00","19.8","Melko pilvistä (7/8)","1009.3","230.2","3.5"
"Helsinki Kaisaniemi","2024","6","29","12:00","21","Melko selkeää (3/8)","1010","213.1","5.3"
"Helsinki Kaisaniemi","2024","6","29","13:00","22.6","Selkeää (0/8)","1010.7","249.4","5.9"
"Helsinki Kaisaniemi","2024","6","29","14:00","20.9","Selkeää (0/8)","1011.4","216.1","7.5"
"Helsinki Kaisaniemi","2024","6","29","15:00","20.5","Selkeää (0/8)","1011.9","220.7","6.9"
"Helsinki Kaisaniemi","2024","6","29","16:00","19.4","Selkeää (0/8)","1012.5","219.7","7.5"
"Helsinki Kaisaniemi","2024","6","29","17:00","19.2","Selkeää (0/8)","1012.6","224.4","6.6"
"Helsinki Kaisaniemi","2024","6","29","18:00","19.4","Selkeää (0/8)","1012.7","229.4","6.7"
"Helsinki Kaisaniemi","2024","6","29","19:00","18.9","Selkeää (0/8)","1012.7","229.3","6.1"
"Helsinki Kaisaniemi","2024","6","29","20:00","18.2","Selkeää (0/8)","1012.8","229.5","5.2"
"Helsinki Kaisaniemi","2024","6","29","21:00","17.7","Selkeää (0/8)","1012.9","238.6","5.1"
"Helsinki Kaisaniemi","2024","6","29","22:00","17.4","Selkeää (0/8)","1013","246.4","4.5"
"Helsinki Kaisaniemi","2024","6","29","23:00","16.9","Selkeää (0/8)","1013.3","255.3","4.4"
"Helsinki Kaisaniemi","2024","6","30","00:00","16.4","Selkeää (0/8)","1013.4","255.6","3.4"
"Helsinki Kaisaniemi","2024","6","30","01:00","16.2","Selkeää (0/8)","1013.6","267.1","3.3"
"Helsinki Kaisaniemi","2024","6","30","02:00","15.9","Selkeää (0/8)","1013.6","260.5","3.2"
"Helsinki Kaisaniemi","2024","6","30","03:00","15.3","Selkeää (0/8)","1013.7","251","2.2"
"Helsinki Kaisaniemi","2024","6","30","04:00","15","Selkeää (0/8)","1013.9","226.5","2.1"
"Helsinki Kaisaniemi","2024","6","30","05:00","14.7","Selkeää (0/8)","1013.9","231.9","2.1"
"Helsinki Kaisaniemi","2024","6","30","06:00","15.2","Selkeää (0/8)","1014.1","255.4","2.8"
"Helsinki Kaisaniemi","2024","6","30","07:00","15.9","Selkeää (0/8)","1014","225.1","1.8"
"Helsinki Kaisaniemi","2024","6","30","08:00","16.9","Selkeää (0/8)","1014.3","226.9","2.5"
"Helsinki Kaisaniemi","2024","6","30","09:00","18.2","Selkeää (0/8)","1014.4","232.7","3.7"
"Helsinki Kaisaniemi","2024","6","30","10:00","18.8","Selkeää (0/8)","1014.2","218.6","4.1"
"Helsinki Kaisaniemi","2024","6","30","11:00","19.4","Selkeää (0/8)","1014.2","221.1","4.6"
"Helsinki Kaisaniemi","2024","6","30","12:00","19.4","Selkeää (0/8)","1013.9","217.3","5.1"
"Helsinki Kaisaniemi","2024","6","30","13:00","20.1","Selkeää (0/8)","1013.7","217.3","4.3"
"Helsinki Kaisaniemi","2024","6","30","14:00","20.1","Selkeää (1/8)","1013.4","204","4.9"
"Helsinki Kaisaniemi","2024","6","30","15:00","20.1","Melko pilvistä (6/8)","1013.4","216.7","5.4"
"Helsinki Kaisaniemi","2024","6","30","16:00","20","Melko pilvistä (7/8)","1012.7","226.8","3.7"
